"tenure","total_customers","churned_customers","churn_percentage"
1,"613","380","61.99"
2,"238","123","51.68"
5,"133","64","48.12"
4,"176","83","47.16"
3,"200","94","47.00"
7,"131","51","38.93"
10,"116","45","38.79"
9,"119","46","38.66"
15,"99","37","37.37"
6,"110","40","36.36"
16,"80","28","35.00"
13,"109","38","34.86"
8,"123","42","34.15"
12,"117","38","32.48"
14,"76","24","31.58"
11,"99","31","31.31"
22,"90","27","30.00"
17,"87","26","29.89"
25,"79","23","29.11"
32,"69","19","27.54"
21,"63","17","26.98"
19,"73","19","26.03"
20,"71","18","25.35"
39,"56","14","25.00"
18,"97","24","24.74"
31,"65","16","24.62"
24,"94","23","24.47"
43,"65","15","23.08"
37,"65","15","23.08"
49,"66","15","22.73"
30,"72","16","22.22"
38,"59","13","22.03"
33,"64","14","21.88"
42,"65","14","21.54"
28,"57","12","21.05"
29,"72","15","20.83"
47,"68","14","20.59"
40,"64","13","20.31"
53,"70","14","20.00"
36,"50","10","20.00"
41,"70","14","20.00"
54,"68","13","19.12"
26,"79","15","18.99"
34,"65","12","18.46"
27,"72","13","18.06"
35,"88","15","17.05"
58,"67","11","16.42"
46,"74","12","16.22"
23,"85","13","15.29"
50,"68","10","14.71"
66,"89","13","14.61"
48,"64","9","14.06"
55,"64","9","14.06"
59,"60","8","13.33"
56,"80","10","12.50"
57,"65","8","12.31"
65,"76","9","11.84"
51,"68","8","11.76"
44,"51","6","11.76"
61,"76","8","10.53"
67,"98","10","10.20"
52,"80","8","10.00"
45,"61","6","9.84"
70,"119","11","9.24"
68,"100","9","9.00"
69,"95","8","8.42"
60,"76","6","7.89"
62,"70","5","7.14"
63,"72","4","5.56"
64,"80","4","5.00"
71,"170","6","3.53"
72,"362","6","1.66"
0,"11","0","0.00"
